sample_idx,filename,speaker_id,gender,fold,emotion_name,predicted_class,p_original,k_percent,p_masked_salient,p_masked_least,delta_p_salient,delta_p_least,faithfulness_gap,is_faithful
783,03-01-01-01-02-02-14.wav,Actor_14,female,1,neutral,1,0.4288615882396698,10.0,0.06349872052669525,0.5482800006866455,0.36536286771297455,-0.11941841244697571,0.48478128015995026,1
783,03-01-01-01-02-02-14.wav,Actor_14,female,1,neutral,1,0.4288615882396698,20.0,0.028357794508337975,0.5482800006866455,0.4005037937313318,-0.11941841244697571,0.5199222061783075,1
783,03-01-01-01-02-02-14.wav,Actor_14,female,1,neutral,1,0.4288615882396698,30.0,0.006506267469376326,0.5482800006866455,0.4223553207702935,-0.11941841244697571,0.5417737332172692,1
1260,03-01-01-01-01-01-22.wav,Actor_22,female,1,neutral,1,0.6188753843307495,10.0,0.18575556576251984,0.7522274255752563,0.4331198185682297,-0.13335204124450684,0.5664718598127365,1
1260,03-01-01-01-01-01-22.wav,Actor_22,female,1,neutral,1,0.6188753843307495,20.0,0.08143774420022964,0.7522274255752563,0.5374376401305199,-0.13335204124450684,0.6707896813750267,1
1260,03-01-01-01-01-01-22.wav,Actor_22,female,1,neutral,1,0.6188753843307495,30.0,0.04582784324884415,0.7522274255752563,0.5730475410819054,-0.13335204124450684,0.7063995823264122,1
782,03-01-01-01-02-01-14.wav,Actor_14,female,1,neutral,1,0.3569856882095337,10.0,0.11029798537492752,0.4219571650028229,0.24668770283460617,-0.06497147679328918,0.31165917962789536,1
782,03-01-01-01-02-01-14.wav,Actor_14,female,1,neutral,1,0.3569856882095337,20.0,0.023289179429411888,0.4219571650028229,0.3336965087801218,-0.06497147679328918,0.398667985573411,1
782,03-01-01-01-02-01-14.wav,Actor_14,female,1,neutral,1,0.3569856882095337,30.0,0.003965958021581173,0.4219571650028229,0.3530197301879525,-0.06497147679328918,0.4179912069812417,1
1264,03-01-02-01-01-01-22.wav,Actor_22,female,1,calm,1,0.6260154247283936,10.0,0.07077166438102722,0.7226563692092896,0.5552437603473663,-0.096640944480896,0.6518847048282623,1
1264,03-01-02-01-01-01-22.wav,Actor_22,female,1,calm,1,0.6260154247283936,20.0,0.015449774451553822,0.7226563692092896,0.6105656502768397,-0.096640944480896,0.7072065947577357,1
1264,03-01-02-01-01-01-22.wav,Actor_22,female,1,calm,1,0.6260154247283936,30.0,0.007200025953352451,0.7226563692092896,0.6188153987750411,-0.096640944480896,0.7154563432559371,1
1149,03-01-02-01-02-02-20.wav,Actor_20,female,4,calm,1,0.6326495409011841,10.0,0.11624409258365631,0.7087423205375671,0.5164054483175278,-0.07609277963638306,0.5924982279539108,1
1149,03-01-02-01-02-02-20.wav,Actor_20,female,4,calm,1,0.6326495409011841,20.0,0.03338242322206497,0.7087423205375671,0.5992671176791191,-0.07609277963638306,0.6753598973155022,1
1149,03-01-02-01-02-02-20.wav,Actor_20,female,4,calm,1,0.6326495409011841,30.0,0.01075960136950016,0.7087423205375671,0.6218899395316839,-0.07609277963638306,0.697982719168067,1
1145,03-01-02-01-01-02-20.wav,Actor_20,female,4,calm,1,0.6117808222770691,10.0,0.058347973972558975,0.5904106497764587,0.5534328483045101,0.02137017250061035,0.5320626758038998,1
1145,03-01-02-01-01-02-20.wav,Actor_20,female,4,calm,1,0.6117808222770691,20.0,0.01110086590051651,0.5904106497764587,0.6006799563765526,0.02137017250061035,0.5793097838759422,1
1145,03-01-02-01-01-02-20.wav,Actor_20,female,4,calm,1,0.6117808222770691,30.0,0.0045333183370530605,0.5904106497764587,0.607247503940016,0.02137017250061035,0.5858773314394057,1
1272,03-01-03-01-01-01-22.wav,Actor_22,female,1,happy,3,0.25298142433166504,10.0,0.18956762552261353,0.06064050644636154,0.06341379880905151,0.1923409178853035,-0.12892711907625198,0
1272,03-01-03-01-01-01-22.wav,Actor_22,female,1,happy,3,0.25298142433166504,20.0,0.15205369889736176,0.06064050644636154,0.10092772543430328,0.1923409178853035,-0.09141319245100021,0
1272,03-01-03-01-01-01-22.wav,Actor_22,female,1,happy,3,0.25298142433166504,30.0,0.15974268317222595,0.06064050644636154,0.09323874115943909,0.1923409178853035,-0.09910217672586441,0
1157,03-01-03-01-02-02-20.wav,Actor_20,female,4,happy,0,0.23728220164775848,10.0,0.18445993959903717,0.13820353150367737,0.052822262048721313,0.09907867014408112,-0.0462564080953598,0
1157,03-01-03-01-02-02-20.wav,Actor_20,female,4,happy,0,0.23728220164775848,20.0,0.08451654016971588,0.06894839555025101,0.1527656614780426,0.16833380609750748,-0.015568144619464874,0
1157,03-01-03-01-02-02-20.wav,Actor_20,female,4,happy,0,0.23728220164775848,30.0,0.03478780388832092,0.0788702666759491,0.20249439775943756,0.1584119349718094,0.044082462787628174,1
